Year,CP,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6007","Yorkshire and The Humber","Rotherham","M1","TM","446000","389300","M18 spur","33","2.36","0","145","70362","380","12056","4624","567","614","1372","4075","1857","13110","96053"
"2000","6009","Yorkshire and The Humber","Leeds","M621","TM","432150","429500","7","M1","1.18","0","85","22676","126","3491","559","118","124","271","646","398","2115","28492"
"2000","6035","Yorkshire and The Humber","Doncaster","M18","TM","466400","407900","4","5","4.04","0","37","38686","191","7416","2886","380","353","1101","5462","2956","13139","59468"
"2000","6054","Yorkshire and The Humber","Calderdale","M62","TM","404000","416600","22","LA Boundary","3.73","0","177","80453","435","15339","4259","693","483","2437","8053","4691","20617","117021"
"2000","6055","Yorkshire and The Humber","Leeds","M62","TM","426000","426200","27","28","3.04","0","255","76582","314","13170","4491","695","471","2170","7432","4171","19430","109751"
"2000","6056","Yorkshire and The Humber","Wakefield","M62","TM","446000","424000","32","33","3.23","0","163","48668","213","9087","3903","583","711","1491","5585","3946","16219","74351"
"2000","6057","Yorkshire and The Humber","East Riding of Yorkshire","A614","TR","474600","427300","A614","M62","0.43","0","4","1445","8","251","108","14","16","52","114","115","420","2128"
"2000","6063","Yorkshire and The Humber","Leeds","M621","TM","426500","429600","RD SPLIT","1","2.49","0","220","37273","137","6230","943","166","90","286","777","371","2634","46493"
"2000","6066","Yorkshire and The Humber","Doncaster","A1","TM","454000","403800","A635","A630","3.48","0","242","51079","420","8777","3039","522","700","1807","5997","3272","15338","75856"
"2000","6088","Yorkshire and The Humber","North Yorkshire","A1","TM","439926","463500","47 /A59 New Road","48","5.1","0","276","78050","628","13337","6247","733","595","3696","12360","7840","31471","123763"
"2000","6089","Yorkshire and The Humber","North Yorkshire","A1","TR","422150","500000","A6136","A1Spur to A6136 Gatherley Road","2.98","2","271","39141","525","4971","2396","320","198","1137","2619","1730","8400","53308"
"2000","6222","Yorkshire and The Humber","North Lincolnshire","A18","PR","499000","406900","B1206","A1084","1.06","57","101","6027","90","779","126","18","18","32","37","12","243","7240"
"2000","6232","Yorkshire and The Humber","North Lincolnshire","A18","PR","492000","408570","A1029","B1398","1.55","61","131","12404","76","1681","322","53","81","118","332","213","1120","15411"
"2000","6233","Yorkshire and The Humber","North Lincolnshire","A18","PR","503945","410000","B1206","A18 spur","2.92","16","95","4875","67","728","191","17","67","18","30","27","351","6116"
"2000","6234","Yorkshire and The Humber","North East Lincolnshire","A46","PU","528320","408000","A16","A1031","0.87","142","45","4794","39","472","53","6","4","5","11","8","87","5437"
"2000","6565","Yorkshire and The Humber","Sheffield","A57","PR","430000","387100","A6061","Hagg Lane","1.49","28","49","2972","11","282","50","5","1","3","3","7","70","3384"
"2000","6576","Yorkshire and The Humber","Calderdale","A58","PR","404130","420000","A672","Jerry Lane, Sowerby Bridge","2.55","20","62","7336","90","1240","192","24","12","21","25","10","284","9013"
"2000","6577","Yorkshire and The Humber","Calderdale","A58","TU","412000","425556","A58 principal","A644","0.62","3","27","3062","52","411","130","14","8","16","28","22","219","3772"
"2000","6578","Yorkshire and The Humber","Leeds","A58","PU","423500","430000","B6135","A6110","3.23","28","122","8350","160","1269","168","22","32","25","26","13","286","10187"
"2000","6580","Yorkshire and The Humber","North Yorkshire","A59","PR","420000","455770","A65(T)","Stonecrop Drive, Harrogate","17.77","7","384","34655","306","2465","2218","754","1489","254","1626","345","6686","44496"
"2000","6587","Yorkshire and The Humber","Doncaster","A60","PU","456560","400000","Woodfield Way roundabout","A630","1.37","27","49","3669","39","445","62","15","5","3","13","7","105","4307"
"2000","6593","Yorkshire and The Humber","North Yorkshire","A61","PR","430300","450000","LA Boundary","A658","2.8","23","124","13269","113","475","86","33","35","17","28","11","210","14190"
"2000","6595","Yorkshire and The Humber","Leeds","A61","PU","432560","428000","A654","A639","1.68","27","67","5929","110","801","190","57","60","15","18","39","379","7287"
"2000","6604","Yorkshire and The Humber","Calderdale","A62","PU","417720","420800","LA Boundary","A644","0.31","14","27","3172","35","519","146","11","13","20","35","16","242","3995"
"2000","6607","Yorkshire and The Humber","Leeds","A63","TU","440000","432400","A642","Ninelands Lane","1.12","17","78","8107","94","964","98","23","46","20","43","30","261","9505"
"2000","6612","Yorkshire and The Humber","North Yorkshire","A65","TR","390000","455130","A682","A59","10.07","15","1009","22533","339","3102","707","195","284","181","512","217","2096","29080"
"2000","6613","Yorkshire and The Humber","Leeds","A65","PU","419934","441000","A6038","A658","2.11","85","93","14185","174","1553","180","53","30","30","59","26","378","16383"
"2000","6617","Yorkshire and The Humber","North Yorkshire","A66","TM","425000","512000","A1M","A66","1.99","0","33","9123","107","1129","345","116","116","166","365","279","1386","11779"
"2000","6708","Yorkshire and The Humber","East Riding of Yorkshire","A614","PR","483730","440000","A164 / A613 mini Rnbt in Holme","A614 / A1079","4.1","5","74","7832","111","935","558","72","62","117","320","224","1352","10304"
"2000","6709","Yorkshire and The Humber","East Riding of Yorkshire","A164","PU","502880","440000","A1035","B1248","0.87","76","40","2028","26","138","40","2","1","7","1","0","52","2284"
